pagamento_id,data_pagamento_motor,descricao_motor,valor_motor,lote_recomendado_motor,lote_final_central,lote_sugerido_extrato,estrategia_recomendada_motor,estrategia_extrato,cobertura_integral_recomendada_motor,pagamento_totalmente_coberto_central,cobertura_integral_extrato,saldo_residual_temporal_motor,saldo_remanescente_central,saldo_remanescente_extrato,necessidade_switching_motor,necessita_switching_extrato,origem_mista_detectada,divergencia_lote_motor_central,divergencia_lote_motor_extrato,divergencia_lote_central_extrato,divergencia_estrategia_motor_extrato,divergencia_cobertura_motor_central,divergencia_cobertura_motor_extrato,divergencia_cobertura_central_extrato,divergencia_saldo_motor_central,divergencia_saldo_motor_extrato,divergencia_saldo_central_extrato,divergencia_switching_motor_extrato,fonte_de_verdade_operacional,precedencia_entre_camadas
despesa_auto_00185,2027-01-20,Cartão Azul,7796.0,saldo_disponivel_geral,saldo_disponivel_geral,saldo_disponivel_geral,sem_switching,sem_switching,sim,sim,sim,0.0,95448.31,95448.31,não,não,True,False,False,False,False,False,False,False,True,True,False,False,NAO_CONSOLIDADA,NAO_DEFINIDA
despesa_auto_00186,2027-01-20,Condomínio,102.36,saldo_disponivel_geral,saldo_disponivel_geral,saldo_disponivel_geral,sem_switching,sem_switching,sim,sim,sim,0.0,103244.31,103244.31,não,não,True,False,False,False,False,False,False,False,True,True,False,False,NAO_CONSOLIDADA,NAO_DEFINIDA
despesa_auto_00187,2027-02-02,Cartão NU,1800.0,Lote 5680 set.,Lote 5680 set.,Lote 5680 set.,sem_switching,sem_switching,sim,sim,sim,0.0,1880.0,1880.0,não,não,True,False,False,False,False,False,False,False,True,True,False,False,NAO_CONSOLIDADA,NAO_DEFINIDA
despesa_auto_00188,2027-02-04,Cemig SIM,195.05,Lote 5680 out.,Lote 5680 out.,Lote 5680 out.,sem_switching,sem_switching,sim,sim,sim,0.0,689.65,689.65,não,não,True,False,False,False,False,False,False,False,True,True,False,False,NAO_CONSOLIDADA,NAO_DEFINIDA
despesa_auto_00189,2027-02-04,Faxina Rosa,950.0,Lote 8500 mar.,Lote 8500 mar.,Lote 8500 mar.,sem_switching,sem_switching,sim,sim,sim,0.0,1.42,1.42,não,não,True,False,False,False,False,False,False,False,True,True,False,False,NAO_CONSOLIDADA,NAO_DEFINIDA
despesa_auto_00190,2027-02-08,Claro,120.0,Lote 5680 out.,Lote 5680 out.,Lote 5680 out.,sem_switching,sem_switching,sim,sim,sim,0.0,569.65,569.65,não,não,True,False,False,False,False,False,False,False,True,True,False,False,NAO_CONSOLIDADA,NAO_DEFINIDA
despesa_auto_00191,2027-02-10,Ginástica Biola,65.0,Lote 3000 mar. V,Lote 3000 mar. V,Lote 3000 mar. V,sem_switching,sem_switching,sim,sim,sim,38.68,3301.43,3301.43,não,não,True,False,False,False,False,False,False,False,True,True,False,False,NAO_CONSOLIDADA,NAO_DEFINIDA
despesa_auto_00192,2027-02-10,Pelada,50.0,Lote 7000 dez.,Lote 7000 dez.,Lote 7000 dez.,sem_switching,sem_switching,sim,sim,sim,0.0,7.64,7.64,não,não,True,False,False,False,False,False,False,False,True,True,False,False,NAO_CONSOLIDADA,NAO_DEFINIDA
despesa_auto_00193,2027-02-10,Tratamento Lara,530.0,Lote 5680 out.,Lote 5680 out.,Lote 5680 out.,sem_switching,sem_switching,sim,sim,sim,0.0,39.65,39.65,não,não,True,False,False,False,False,False,False,False,True,True,False,False,NAO_CONSOLIDADA,NAO_DEFINIDA
despesa_auto_00194,2027-02-11,Cemig,95.12,saldo_disponivel_geral,saldo_disponivel_geral,saldo_disponivel_geral,sem_switching,sem_switching,sim,sim,sim,0.0,108033.19,108033.19,não,não,True,False,False,False,False,False,False,False,True,True,False,False,NAO_CONSOLIDADA,NAO_DEFINIDA
despesa_auto_00195,2027-02-12,Aluguel,981.95,Lote 5680 abr.,Lote 5680 abr.,Lote 5680 abr.,sem_switching,sem_switching,sim,sim,sim,0.0,284.51,284.51,não,não,True,False,False,False,False,False,False,False,True,True,False,False,NAO_CONSOLIDADA,NAO_DEFINIDA
despesa_auto_00196,2027-02-12,IPVA,1407.65,Lote 5680 dez.,Lote 5680 dez.,Lote 5680 dez.,sem_switching,sem_switching,sim,sim,sim,0.0,390.4,390.4,não,não,True,False,False,False,False,False,False,False,True,True,False,False,NAO_CONSOLIDADA,NAO_DEFINIDA
despesa_auto_00197,2027-02-15,Internet,132.4,Lote 5680 dez.,Lote 5680 dez.,Lote 5680 dez.,sem_switching,sem_switching,sim,sim,sim,0.0,258.0,258.0,não,não,True,False,False,False,False,False,False,False,True,True,False,False,NAO_CONSOLIDADA,NAO_DEFINIDA
